build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-A-14-2026-05-31T20-17-00.928Z.json,0.1419,-6.62,False,1.0,late,2.666,stopped,2.649,0.307,2.917
by-build,stroke-A-15-2026-05-31T20-17-05.893Z.json,0.1331,-8.0,False,1.0,late,2.347,stopped,2.324,0.327,2.733
by-build,stroke-A-2-2026-05-31T20-15-50.624Z.json,0.1712,-6.04,False,1.0,late,3.885,stopped,3.863,0.408,3.533
by-build,stroke-A-3-2026-05-31T20-15-55.124Z.json,0.1245,-0.7,False,1.0,just_right,2.006,captured,2.0,0.0,2.05
by-build,stroke-A-4-2026-05-31T20-15-59.008Z.json,0.1156,-3.31,False,1.0,late,1.766,stopped,1.763,0.102,2.367
by-build,stroke-A-5-2026-05-31T20-16-04.343Z.json,0.16,-9.0,False,1.0,late,3.393,stopped,3.351,0.531,3.3
by-build,stroke-A-6-2026-05-31T20-16-08.611Z.json,0.166,-4.49,False,1.0,late,3.654,stopped,3.643,0.286,3.433
by-build,stroke-A-7-2026-05-31T20-16-15.441Z.json,0.1608,-6.02,False,1.0,just_right,3.429,stopped,3.41,0.359,3.317
by-build,stroke-A-8-2026-05-31T20-16-20.409Z.json,0.1502,-5.37,False,1.0,late,2.991,stopped,2.978,0.28,3.1
by-build,stroke-A-9-2026-05-31T20-16-25.760Z.json,0.2039,-5.52,False,1.0,just_right,5.52,stopped,5.494,0.531,4.233
by-build,stroke-cal-1-2026-05-31T20-14-56.408Z.json,0.1182,-8.01,False,1.0,late,1.849,stopped,1.831,0.258,2.417
by-build,stroke-cal-2-2026-05-31T20-15-03.958Z.json,0.1794,-9.34,False,1.0,late,4.267,stopped,4.21,0.692,3.7
by-build,stroke-cal-3-2026-05-31T20-15-11.322Z.json,0.1894,-7.99,False,1.0,just_right,4.757,stopped,4.711,0.661,3.917
